zip,primary_city
2203,Boston
2208,Boston
2305,Brockton
2458,Newton
3804,Yacolt
6912,Stamford
10060,New York
10469,Bronx
11236,Brooklyn
11388,Ridgewood
12242,Albany
14263,Buffalo
14604,Rochester
15266,Pittsburgh
18105,Allentown
18763,Wilkes Barre
19172,Philadelphia
19805,Wilmington
20046,Washington
20078,Washington
20337,Washington
20456,Washington
20508,Washington
20525,Washington
20551,Washington
21211,Baltimore
21229,Baltimore
21282,Pikesville
22093,Ashburn
22119,Merrifield
22217,Arlington
22405,Fredericksburg
23464,Virginia Beach
23605,Newport News
24009,Roanoke
24029,Roanoke
25716,Huntington
27455,Greensboro
28230,Charlotte
28235,Charlotte
29424,Charleston
29505,Florence
30919,Augusta
31217,Macon
31605,Valdosta
32215,Jacksonville
32259,Saint Johns
32405,Panama City
32868,Orlando
33169,Miami
33261,Miami
33884,Winter Haven
34985,Port Saint Lucie
35220,Birmingham
35254,Birmingham
35263,Birmingham
35810,Huntsville
36177,Montgomery
39236,Jackson
44310,Akron
44511,Youngstown
45296,Cincinnati
45454,Dayton
46221,Indianapolis
47732,Evansville
47747,Evansville
47937,Crawfordsville
48206,Detroit
49018,Battle Creek
50320,Des Moines
52804,Davenport
54915,Appleton
55172,Saint Paul
55407,Minneapolis
55417,Minneapolis
55446,Minneapolis
59105,Billings
60505,Aurora
62723,Springfield
64142,Kansas City
64144,Kansas City
65218,Columbia
65805,Springfield
66617,Topeka
66642,Topeka
67205,Wichita
68144,Omaha
71137,Shreveport
73104,Oklahoma City
73124,Oklahoma City
75044,Garland
75074,Plano
75185,Mesquite
75231,Dallas
76011,Arlington
76192,Fort Worth
76205,Denton
76505,Temple
76705,Waco
76796,Waco
77005,Houston
77070,Houston
77240,Houston
78220,San Antonio
78405,Corpus Christi
78426,Corpus Christi
78769,Austin
79165,Amarillo
79491,Lubbock
79923,El Paso
79940,El Paso
80005,Arvada
80150,Englewood
80279,Denver
80940,Colorado Springs
85062,Phoenix
85083,Phoenix
85205,Mesa
85271,Scottsdale
87592,Santa Fe
88530,El Paso
89087,North Las Vegas
89130,Las Vegas
89505,Reno
90015,Los Angeles
90805,Long Beach
91328,Northridge
92056,Oceanside
92160,San Diego
92822,Brea
92825,Anaheim
92844,Garden Grove
93094,Simi Valley
93291,Visalia
93762,Fresno
94105,San Francisco
94660,Oakland
94705,Berkeley
94975,Petaluma
95150,San Jose
97216,Portland
97221,Portland
98042,Kent
98175,Seattle
98417,Tacoma